description,variables,value,unit,unit(3d histogram),
Counter for FCA gap setting at (Far),vafimr_cnt_ops_fca_gapset[x]_[0],1019,Far,N/A,0136374_2020-8-8-15-57-9
Counter for FCA gap setting at (Faulted),vafimr_cnt_ops_fca_gapset[x]_[5],0,Faulted,N/A,0136374_2020-8-8-15-57-9
Counter for FCA gap setting at (Medium),vafimr_cnt_ops_fca_gapset[x]_[1],0,Medium,N/A,0136374_2020-8-8-15-57-9
Counter for FCA gap setting at (Near),vafimr_cnt_ops_fca_gapset[x]_[2],0,Near,N/A,0136374_2020-8-8-15-57-9
Counter for FCA gap setting at (Off),vafimr_cnt_ops_fca_gapset[x]_[3],0,Off,N/A,0136374_2020-8-8-15-57-9
Counter for FCA gap setting at (Unknown),vafimr_cnt_ops_fca_gapset[x]_[4],0,Unknown,N/A,0136374_2020-8-8-15-57-9
Counter for FIM feature being unavailable (FALSE),vafimr_cnt_ops_fca_notavailind[x]_[1],1019,FALSE,N/A,0136374_2020-8-8-15-57-9
Counter for FIM feature being unavailable (TRUE),vafimr_cnt_ops_fca_notavailind[x]_[0],0,TRUE,N/A,0136374_2020-8-8-15-57-9
Counter for FIM setting at (Alert and Brake),vafimr_cnt_ops_cps_curset[x]_[3],1019,Alert_Brake,N/A,0136374_2020-8-8-15-57-9
Counter for FIM setting at (Alert Brake Steer),vafimr_cnt_ops_cps_curset[x]_[4],0,Alert_Brake_Steer,N/A,0136374_2020-8-8-15-57-9
Counter for FIM setting at (Alert),vafimr_cnt_ops_cps_curset[x]_[2],0,Alert,N/A,0136374_2020-8-8-15-57-9
Counter for FIM setting at (Off),vafimr_cnt_ops_cps_curset[x]_[1],0,Off,N/A,0136374_2020-8-8-15-57-9
Counter for FIM setting at (Unknown),vafimr_cnt_ops_cps_curset[x]_[0],0,Unknown,N/A,0136374_2020-8-8-15-57-9
Counter for Range 90m and greater and Range Rate 5m/s and greater,vafimr_cnt_ops_rngrtfim[x]_[129],0,90<,6,0136374_2020-8-8-15-57-9
Counter for Range 90m and greater and Range Rate equals to or less than -17 m/s,vafimr_cnt_ops_rngrtfim[x]_[117],0,90<,-18,0136374_2020-8-8-15-57-9
Counter for Range 90m and greater and Range Rate within (-1 1]m/s,vafimr_cnt_ops_rngrtfim[x]_[126],692,90<,0,0136374_2020-8-8-15-57-9
Counter for Range 90m and greater and Range Rate within (1 3]m/s,vafimr_cnt_ops_rngrtfim[x]_[127],0,90<,2,0136374_2020-8-8-15-57-9
Counter for Range 90m and greater and Range Rate within (-11 -9]m/s,vafimr_cnt_ops_rngrtfim[x]_[121],0,90<,-10,0136374_2020-8-8-15-57-9
Counter for Range 90m and greater and Range Rate within (-13 -11]m/s,vafimr_cnt_ops_rngrtfim[x]_[120],0,90<,-12,0136374_2020-8-8-15-57-9
Counter for Range 90m and greater and Range Rate within (-15 -13]m/s,vafimr_cnt_ops_rngrtfim[x]_[119],0,90<,-14,0136374_2020-8-8-15-57-9
Counter for Range 90m and greater and Range Rate within (-17 -15]m/s,vafimr_cnt_ops_rngrtfim[x]_[118],0,90<,-16,0136374_2020-8-8-15-57-9
Counter for Range 90m and greater and Range Rate within (-3 -1]m/s,vafimr_cnt_ops_rngrtfim[x]_[125],0,90<,-2,0136374_2020-8-8-15-57-9
Counter for Range 90m and greater and Range Rate within (3 5]m/s,vafimr_cnt_ops_rngrtfim[x]_[128],0,90<,4,0136374_2020-8-8-15-57-9
Counter for Range 90m and greater and Range Rate within (-5 -3]m/s,vafimr_cnt_ops_rngrtfim[x]_[124],0,90<,-4,0136374_2020-8-8-15-57-9
Counter for Range 90m and greater and Range Rate within (-7 -5]m/s,vafimr_cnt_ops_rngrtfim[x]_[123],10,90<,-6,0136374_2020-8-8-15-57-9
Counter for Range 90m and greater and Range Rate within (-9 -7]m/s,vafimr_cnt_ops_rngrtfim[x]_[122],0,90<,-8,0136374_2020-8-8-15-57-9
Counter for Range within (0 10]m and Range Rate  5m/s and greater,vafimr_cnt_ops_rngrtfim[x]_[12],0,(0 10],6,0136374_2020-8-8-15-57-9
Counter for Range within (0 10]m and Range Rate equals to or less than -17 m/s,vafimr_cnt_ops_rngrtfim[x]_[0],0,(0 10],-18,0136374_2020-8-8-15-57-9
Counter for Range within (0 10]m and Range Rate within (-1 1]m/s,vafimr_cnt_ops_rngrtfim[x]_[9],0,(0 10],0,0136374_2020-8-8-15-57-9
Counter for Range within (0 10]m and Range Rate within (1 3]m/s,vafimr_cnt_ops_rngrtfim[x]_[10],0,(0 10],2,0136374_2020-8-8-15-57-9
Counter for Range within (0 10]m and Range Rate within (-11 -9]m/s,vafimr_cnt_ops_rngrtfim[x]_[4],0,(0 10],-10,0136374_2020-8-8-15-57-9
Counter for Range within (0 10]m and Range Rate within (-13 -11]m/s,vafimr_cnt_ops_rngrtfim[x]_[3],0,(0 10],-12,0136374_2020-8-8-15-57-9
Counter for Range within (0 10]m and Range Rate within (-15 -13]m/s,vafimr_cnt_ops_rngrtfim[x]_[2],0,(0 10],-14,0136374_2020-8-8-15-57-9
Counter for Range within (0 10]m and Range Rate within (-17 -15]m/s,vafimr_cnt_ops_rngrtfim[x]_[1],0,(0 10],-16,0136374_2020-8-8-15-57-9
Counter for Range within (0 10]m and Range Rate within (-3 -1]m/s,vafimr_cnt_ops_rngrtfim[x]_[8],0,(0 10],-2,0136374_2020-8-8-15-57-9
Counter for Range within (0 10]m and Range Rate within (3 5]m/s,vafimr_cnt_ops_rngrtfim[x]_[11],0,(0 10],4,0136374_2020-8-8-15-57-9
Counter for Range within (0 10]m and Range Rate within (-5 -3]m/s,vafimr_cnt_ops_rngrtfim[x]_[7],0,(0 10],-4,0136374_2020-8-8-15-57-9
Counter for Range within (0 10]m and Range Rate within (-7 -5]m/s,vafimr_cnt_ops_rngrtfim[x]_[6],0,(0 10],-6,0136374_2020-8-8-15-57-9
Counter for Range within (0 10]m and Range Rate within (-9 -7]m/s,vafimr_cnt_ops_rngrtfim[x]_[5],0,(0 10],-8,0136374_2020-8-8-15-57-9
